Peso,Volumen,Densidad,PesoRatio,VolumenAcu,PesoAcu,VolumenAcuRaiz,ProductoVxP,Densidadacu,sobredimension
284.22882432487074,0.2041846153846154,1392.0188050871457,945.7989791969088,0.2041846153846154,284.22882432487074,4.518679180740932,1.7636911350404165,-3.1436451022935192,0
512.8604825306111,0.1540875,3328.371753261044,415.37746927661783,0.3582721153846154,797.0893068554818,8.344291331577645,1.897766645625868,-3.3472939750218984,0
77.36294591107017,0.05368235294117647,1441.124348551603,246.02472240927003,0.41195446832579186,874.452252766552,6.69284089386376,0.6183645419896032,-3.3268868830609706,0
19.2626,0.10464999999999999,184.06688963210703,611.1590867469879,0.5166044683257919,893.714852766552,8.369025030090675,0.30445413900652607,-3.2380408173464974,0
1.0906622049919599,0.00311264860125246,350.3968307097376,17.660232983275872,0.5197171169270444,894.805514971544,1.6139960983149422,-2.4691796420332888,-3.2359616315443636,0
15.908629784491184,0.02633201473491916,604.1554337805601,142.71796500417847,0.5460491316619636,910.7141447560351,2.061547211269514,-0.3778831352255509,-3.2221503610548843,0
40.541401613905755,0.07262737087352122,558.2110590855286,396.97288075670406,0.6186765025354848,951.2555463699409,3.8694283025550997,0.468999082114968,-3.186833580237109,0
9.227743494484445,0.018371173070873832,502.29473419497447,101.44197379993624,0.6370476756063587,960.4832898644254,2.6661946108935353,-0.7707675975741691,-3.1783178781270363,0
4.150889834692446,0.010886621079036346,381.2835777563291,61.43116485829758,0.647934296685395,964.6341796991178,1.7036974629248782,-1.3449656856359522,-3.172831677350572,0
1366.7852498244063,5.4754000000000005,249.62290423063268,31617.55209957319,6.123334296685395,2331.419429523524,30.542470575411674,3.8741161349306137,-2.5806324415505624,0
300.45952,0.5080609363277423,591.3848094122674,2760.1485301671223,6.631395233013137,2631.8789495235237,39.39217714001877,2.1837017733611983,-2.5986609977317734,0
226.5799584429302,0.9819600000000002,230.74255411924128,5688.841728304058,7.613355233013137,2858.458907966454,62.194487106505534,2.347315290030115,-2.5745558592594824,0
54.19774285714285,0.3282444211254778,165.11398022032097,1923.1782880192295,7.941599654138615,2912.6566508235965,45.18295410602421,1.250178553609872,-2.5643813022768276,0
554.8666826137938,2.1974776031456,252.50163269902035,12682.950203805482,10.139077257284216,3467.52333343739,99.64362984754406,3.086113105465951,-2.534020959897119,0
659.4617785362213,2.1015125869537403,313.80339219959086,12000.252600703177,12.240589844237956,4126.985111973611,144.70740904818012,3.1417216250677598,-2.527830556262477,0
195.07627084855238,0.4966367015569161,392.7947133931181,2796.7110879280503,12.737226545794872,4322.061382822164,84.77441260223253,1.9862432557202776,-2.530616057241277,0
4311.5336,59.05077013960106,73.0140113296942,351415.9973614522,71.78799668539594,8633.594982822164,707.5305189385214,5.405857340979871,-2.080139837189656,1
854.6607331157318,1.6087,531.2741549796306,8836.303122305955,73.39669668539594,9488.255715937896,337.37284209260224,3.138268812829871,-2.1115098663919247,0
56.3479192250047,0.4035,139.64787912020992,2374.37497234126,73.80019668539593,9544.6036351629,116.67473667609669,1.3567214224254256,-2.111700378614766,0
3497.912666666667,23.39589302990306,149.50968796941712,137441.20197130358,97.196089715299,13042.516301829568,522.4662341784458,4.91294858915584,-2.127712594992644,1
2734.5419999999995,11.066,247.11205494306878,63928.108602409644,108.262089715299,15777.058301829567,760.3690779758657,4.4808752639958715,-2.163549624658046,1
111.4564689476625,1.2022401843797685,92.70732287588815,7130.954280328051,109.46432989967877,15888.51477077723,302.34851752611246,2.1270965200430783,-2.161810679237337,0
8.449687851842423,0.05107692531044695,165.43062841948668,299.24263329542833,109.51540682498921,15896.964458629072,39.29762416152611,-0.36493458839759224,-2.161838982463165,0
3.777603081320217,0.022360679774997897,168.93954563689343,130.92528712951048,109.5377675047642,15900.742061710393,9.374015093833087,-1.073298673851304,-2.1618535073055205,0
46.06572727272727,0.4587194536861094,100.42244099865216,2717.304475655643,109.99648695845032,15946.80778898312,20.73654523465386,1.3249250904496828,-2.161294944608867,0
11.482424176975872,0.08251936136447009,139.1482433590403,485.6221623559765,110.0790063198148,15958.290213160097,13.081156178522916,-0.023410555506779382,-2.161281858226454,0
0.14665851537954874,0.0015354333445498558,95.51604170908816,9.10293994576416,110.08054175315934,15958.436871675476,1.4172241665230116,-3.6474617478527396,-2.161279791724326,0
1220.8622841254455,9.96398307505588,122.52753491540818,58803.13214392203,120.04452482821522,17179.299155800923,37.57818197943517,4.085099658529258,-2.155663085555007,0
47.999621052631575,0.32079291194565174,149.62805992659713,1884.4878003067165,120.36531774016086,17227.298776853557,34.72004381161784,1.1874625725202566,-2.1557158192240093,0
87.192707165796,0.7075950000000002,123.22402951659632,4175.427774761916,121.07291274016086,17314.491484019352,49.565844490820226,1.7902649173225669,-2.155362750430981,0
29.99890087986558,0.2229,134.58457101779086,1312.7721834574836,121.29581274016086,17344.490384899218,33.2388729306573,0.8252154115147733,-2.155315735122836,0
590.0083002583006,4.287634039109837,137.60696339205134,25239.112417270837,125.58344677927069,17934.49868515752,119.38011685332394,3.4030758314411664,-2.15475684295899,0
1.635074310237917,0.015874507866387545,103.0,93.99449114992802,125.59932128713707,17936.133759467757,13.766265303554029,-1.5857622345132836,-2.154741541462651,0
22.450769776933484,0.16974097914174996,132.2648772880292,1000.0852491492711,125.76906226627882,17958.58452924469,15.286266227402821,0.5810179394448148,-2.1546982803602326,0
81.24051861957712,1.614530829469651,50.318344584515245,9644.848815534946,127.38359309574848,18039.825047864266,49.67911844187917,2.1178190294576638,-2.15111882657077,0
27.711656176057033,0.21290985181526945,130.15675855197608,1254.8778125906265,127.59650294756375,18067.53670404032,32.52256715847277,0.7708582396747946,-2.1510601738682635,0
257.8379238241814,3.12165,82.59667926390897,18547.28255810353,130.71815294756374,18325.374627864505,100.7591543088004,2.905731003744824,-2.1467169591046136,0
12.367005782588379,0.17656040381062688,70.04405017023431,1051.2498846428748,130.89471335137438,18337.741633647092,42.178284664479975,0.339157877284635,-2.1464237431443105,0
0.837821248503787,0.01885618083164127,44.432181467940545,112.75362954451592,130.91356953220603,18338.579454895596,8.918079181089817,-1.8013948949833956,-2.1463810266316066,0
33.70252937095375,0.6231111111111111,54.08751147264332,3719.9788628646547,131.53668064331714,18372.28198426655,23.573192884091334,1.322227991364682,-2.145116224355975,0
2.29435539240691,0.03333333333333334,68.83066177220729,198.50885745899876,131.57001397665047,18374.576339658954,8.864384333592367,-1.116460564342423,-2.1450604135720464,0
1.0392304845413263,0.09486832980505139,10.95445115010332,570.4567321964911,131.66488230645552,18375.615570143495,9.170328982528224,-1.0061668675368627,-2.144771941294915,0
0.8114690690346738,0.034641016151377546,23.425094272311195,207.86935111998667,131.6995233226069,18376.42703921253,5.636217831109846,-1.5511374066076216,-2.1446768715582354,0
